-999,44.6,93.3,145.2,189.5,219.7,239.3,238.7,211,171.9,114.7,60.1,-999,
18,52.9,107,167.9,208.5,234.9,255.2,259.4,231.8,190.2,134.6,71,28,
30.7,71.4,136,196.9,243,272.1,285.7,284.1,262.1,215,159.9,95.5,48.3,
40.9,100.3,166.9,217.9,256.9,285.7,300.3,291.8,260.2,223.1,164.3,105.1,51.3,
54.3,121.5,189.3,238.2,275.5,303.4,314.7,309.5,273.2,220.4,164.1,105.2,53.2,
59.5,134.1,199.9,248.2,285.6,310.3,323.4,310.9,275,230,170,109.3,56.7,
54,124.8,197.8,244.1,276.8,299.2,313.7,302.2,272.2,234.2,174.8,112.6,60,
46.6,111,178.8,229.1,266.7,293.2,301.7,294.1,268.7,220.6,163.1,104.4,53.5,
40.5,97.1,156.3,208.9,251.3,282.3,288.1,284.7,248.1,194.5,129.1,68.2,24.5,
57.9,76.5,135.5,199,240.9,264.2,278.5,268.6,228.8,177.7,112.3,56.5,16,
33.4,61.8,115.3,178.6,215.5,248.2,251.1,249.5,215.7,165.2,102.2,48.3,-999,
13.8,49,106.4,161.8,203,230.6,247.6,240.8,213,164.3,104.1,48.8,-999,
