-999,49,194.4,347.5,443.3,498.7,509.8,481.6,420.9,309.1,181,66.1,-999,
12,63,241.2,389.6,506.5,560.2,599.8,552.3,498.2,396.9,247,91.6,30,
29.1,104.4,294.4,448.4,561.3,612.3,634.4,586.6,511.7,382.7,277.6,125.4,46.8,
42.9,190.1,363.4,515.8,614.6,662.5,672,641.7,567.9,445.4,304.5,149.8,51.1,
64.4,220.8,377.2,531.7,627.4,659.4,666.6,627.6,520.6,408.2,287.2,144.7,54.4,
68.9,220.9,382.7,551.4,635.3,651,679.1,596.6,519.5,418,274.5,145.1,57.7,
58.3,212.2,366.4,528.6,622.7,665.9,730.9,657.3,551.1,441.1,286.6,148.5,60.3,
48.3,190.9,353.1,491.2,625.5,674.4,720,627.8,550.8,405.9,261,136.1,53.5,
42.5,178.6,369.2,516.4,614.4,639.6,638.8,571.4,468.2,321.6,185.3,74.9,17.2,
64.9,141.3,338.1,447.7,532.4,563.9,594.6,539.5,437.9,314.7,169.6,59.8,16,
28.1,88.2,259.6,386.3,455.9,493.3,503.5,449.1,386.3,284.2,147.2,48.1,-999,
8.5,57.5,201.8,334.8,407.5,459.6,468.5,445.4,371,269.2,147.3,49.4,-999,
