-999,25.4,77.5,123.9,165.1,188.4,221.2,203.9,184.7,154.1,102.5,35.6,-999,
-999,34.9,87.6,139.5,172.9,205.3,222.7,227.1,205.6,165.2,122.4,53.8,-999,
-999,65.1,113.8,169.4,196.4,234.8,251.8,249.6,214.4,178.5,135.4,77.9,12.4,
21.1,80.4,113.7,149.8,185.0,221.1,238.3,241.6,220.1,174.2,121.6,68.8,17.7,
44.5,96.6,139.5,180.4,214.6,231.1,267.8,244.4,203.6,172.5,130.5,75.8,28.6,
41.8,97.3,149.2,193.0,233.5,257.9,267.9,275.1,245.4,200.3,146.2,86.6,32.0,
35.3,89.3,131.5,191.1,214.0,247.2,261.2,242.7,238.3,196.3,136.3,98.4,38.5,
22.7,60.3,92.7,134.9,161.9,181.0,196.0,193.7,176.2,148.0,116.0,59.8,19.0,
18.1,64.0,98.3,148.3,170.9,217.9,226.9,201.9,187.0,145.0,101.8,53.5,12.5,
-999,64.7,109.2,152.8,190.0,215.6,227.5,222.7,197.9,146.1,88.1,36.0,-999,
-999,48.3,92.6,134.3,168.4,208.7,221.0,222.5,180.1,131.0,80.8,19.8,-999,
-999,34.4,80.8,120.2,159.3,189.7,199.9,195.2,164.1,127.9,84.1,20.2,-999,
